#{"t_start": 1682102231.7842994, "env_id": null}
r,l,t
-65.318619,33,29.869524
68.9308,151,29.972268
34.206092,151,30.086274
-53.519115,151,30.186525
-107.937419,27,30.20493
-18.947589,151,30.305806
-103.65411,115,30.382843
-115.633599,37,30.408391
-22.218674,151,30.509308
-44.211317,151,30.610464
-77.44233,128,30.696205
13.927056,151,30.865069
-117.154246,41,30.893159
-115.97522,91,30.956387
-71.362485,80,31.011059
-117.025154,120,31.092252
-25.723377,151,31.192368
-60.780215,23,31.208152
86.275563,151,31.308785
2.008725,151,31.409313
-43.101268,151,31.522609
-93.565051,76,31.585368
-65.624656,24,31.602792
-102.522535,48,31.636055
-41.840599,151,31.73785
-5.076188,151,31.838079
-35.939898,151,31.939845
-72.457104,44,31.969387
76.120179,151,32.06892
-105.217274,30,32.089453
-42.482488,151,32.261122
-108.259561,22,32.276887
-104.938935,12,32.285793
-18.874502,151,32.392444
-60.435419,67,32.439157
-39.35805,151,32.540164
-74.419525,73,32.588708
-31.832212,151,32.689443
-59.164523,151,32.78975
-122.663687,85,32.846361
-51.732169,105,32.915858
-42.190408,151,33.031724
-46.608493,133,33.120972
-63.577517,47,33.152527
-138.597184,92,33.213677
-137.202251,137,33.304787
-122.88148,58,33.34376
-63.606114,151,33.445929
-101.13947,26,33.463807
163.219971,151,33.564148
14.959896,151,33.735285
-142.546464,96,33.804842
-101.659564,15,33.815238
48.411651,151,33.915949
-88.950279,120,33.998615
-101.411537,26,34.017559
-116.152547,62,34.060909
-115.007874,72,34.109376
-142.427719,125,34.193223
-110.166557,54,34.229343
-39.110022,151,34.330359
-62.378619,57,34.37185
-112.458025,77,34.423516
71.710084,151,34.524887
-116.405701,129,34.61101
-111.753292,52,34.645334
9.642579,149,34.744389
-104.055443,11,34.752199
-108.952393,25,34.769066
-117.514595,65,34.812648
-47.863192,151,34.912394
-56.843243,151,35.012248
-45.202607,151,35.168426
-21.893456,151,35.267803
-35.941532,151,35.367555
-19.561358,151,35.468647
-74.738679,45,35.498662
-51.948678,151,35.597741
-75.996569,80,35.651093
-16.443409,151,35.751947
-99.117152,118,35.833037
-123.396147,64,35.875151
-119.447966,43,35.903969
-85.236988,94,35.966226
-23.687212,151,36.065216
41.105485,151,36.164647
-77.82567,47,36.195924
-40.440109,151,36.29533
-46.721884,151,36.396019
-72.366713,59,36.438252
-6.046021,151,36.591145
-18.603708,151,36.691319
-104.191862,54,36.727656
-105.45247,14,36.737288
28.606933,151,36.83749
-29.787586,151,36.940001
-13.73993,151,37.040429
-104.164528,44,37.069931
-43.194874,151,37.172453
-124.798833,127,37.25795
22.8599,73,37.307306
-32.949346,151,37.407402
-68.680325,23,37.423046
-63.03393,68,37.469341
-30.172096,151,37.570415
-40.392157,151,37.671168
-109.562741,31,37.692139
-126.155588,105,37.767628
-81.872829,54,37.804712
-103.791588,76,37.861105
-32.814199,151,38.022505
-58.203614,151,38.125349
-121.233839,80,38.179063
-77.553142,111,38.253233
-104.806745,25,38.270307
-117.760223,42,38.298295
-113.01542,35,38.321588
-8.386182,151,38.420822
-167.670841,133,38.508899
-42.698698,151,38.615085
-31.162122,151,38.719543
-15.340917,151,38.818909
-119.224854,81,38.872823
-112.291843,42,38.901059
-98.5642,84,38.956628
-77.949597,132,39.043427
-9.402699,151,39.143268
-76.253596,91,39.202893
-122.546283,71,39.252257
-112.464305,52,39.286736
