#{"t_start": 1681927915.74368, "env_id": null}
r,l,t
-115.500186,109,352.68997
-121.65378,99,353.344978
-126.520242,55,353.397065
-123.801243,125,353.934951
-125.403819,112,354.566917
42.589697,120,355.201576
-116.842963,136,355.735313
-129.709619,30,356.294182
-118.671497,68,356.358469
-112.640282,162,356.88458
-130.129613,108,357.474439
-126.017643,123,358.087386
26.318191,201,358.842979
-130.873936,32,358.874746
-129.446007,51,358.925267
-120.647677,62,359.309903
-134.729594,176,359.992948
-120.5878,137,360.590752
5.357425,201,361.364178
-65.602475,197,361.961192
-99.424326,144,362.736924
-85.551316,115,362.842619
-129.520705,23,363.369259
40.785035,118,363.993169
11.261669,154,364.664415
-130.178613,52,364.717315
19.054767,201,365.353294
-131.971724,142,366.017993
-78.245608,144,366.608442
-99.634789,132,367.122418
-130.718208,46,367.167362
-35.586163,122,367.659625
-120.13217,96,368.233541
-130.720009,48,368.278816
-133.464512,87,368.757466
-110.587668,181,369.456857
-128.727617,22,369.478155
-123.918059,125,370.068279
23.774533,201,370.774576
-0.252171,201,371.490947
25.98693,95,372.011461
108.801799,145,372.637367
-130.704609,45,372.68047
-134.693869,29,372.707856
-125.037645,53,373.030617
-130.653713,48,373.076193
-125.075017,136,373.543752
-132.834654,154,374.108552
-122.778961,55,374.682164
-115.092648,160,375.349046
10.674534,201,376.051768
25.280118,201,376.780415
-109.55244,178,377.437866
-30.438614,61,377.495267
12.392933,201,378.147694
-127.678203,34,378.179655
-136.244283,90,378.714355
-117.134966,146,379.457724
-115.104405,119,380.026682
-132.523298,89,380.111905
-128.607212,21,380.132348
-113.579526,143,380.813965
25.328063,201,381.506066
-138.548458,105,381.996826
-129.014987,29,382.024345
-121.5618,100,382.468527
68.51499,201,383.158642
-107.504458,171,383.83185
-130.704625,26,383.856814
-123.373325,76,384.25685
-119.492482,125,384.808607
-126.060177,40,384.846658
-118.072079,60,384.903185
-143.799289,75,385.31207
-137.980031,113,385.811177
-46.49401,181,386.348259
-132.772037,79,386.970948
-130.465572,30,387.008427
-130.180848,39,387.046923
-139.998096,75,387.450923
-119.390184,139,387.99366
-120.086509,105,388.549701
-128.657651,83,389.022687
-106.908681,200,389.786141
-27.76359,198,390.570819
-127.819816,74,390.640809
-126.277629,76,391.086541
-132.609784,68,391.155056
-128.989862,23,391.552776
-127.555584,36,391.587774
-122.30975,120,392.063461
14.987006,201,392.65779
-130.693756,13,393.222252
-122.585014,52,393.271372
-141.459336,115,393.779088
11.413574,201,394.385256
-139.52822,144,395.086582
-117.437204,167,395.804826
-144.3558,97,396.339835
-131.798398,137,396.959444
-130.865314,23,396.981555
-133.655721,70,397.04715
-128.620669,81,397.49427
-67.712409,135,398.014529
-124.446478,156,398.566896
89.470757,151,399.195288
-130.037576,106,399.84082
164.901961,179,400.627973
-115.190834,107,401.258147
-117.021619,187,401.952695
-10.698531,177,402.512526
-117.783546,123,403.214549
35.592497,201,404.048217
